FPA Women’s Health West Covina CA,626-572-8800 / 877-883-7264,"501 South Vincent Ave., Suite 205 West Covina, California 91790",www.fpawomenshealth.com/west-covina,34.06649,-117.928
FPA Women’s Health Torrance CA,310-373-1042 / 877-883-7264,"24241 Hawthorne Blvd., Unit 201 Torrance, California 90505",www.fpawomenshealth.com/torrance,33.80247,-118.352
FPA Women’s Health Temecula CA,951-296-0454 / 877-883-7264,"41715 Winchester Road #204 Temecula, California 92590",www.fpawomenshealth.com/ltemecula,33.5187,-117.168
FPA Women’s Health Santa Monica CA,310-820-8084 / 877-883-7264,"12304 Santa Monica Boulevard West Los Angeles, California 90025",www.fpawomenshealth.com/santa-monica,34.03909,-118.465
Her Choice Women's Clinic,714-966-9094,"1155 W. Central Ave, Suite 214 Santa Ana, CA, 92707",HerChoiceClinic.com,33.71329,-117.884
FPA Women’s Health Santa Ana CA,657-859-5463 / 877-883-7264,"1901 North Tustin Avenue Santa Ana, California 92705",www.fpawomenshealth.com/santa-ana,33.76258,-117.835
FPA Women's Health San Jose CA,408-240-2614 / 877-883-7264,"2100 Forest Avenue #108 San Jose, California 95128",www.fpawomenshealth.com/san-jose,37.32632,-121.937
FPA Women’s Health San Bernadino CA,909-885-0282/ 877-883-7264,"855 East Hospitality Lane San Bernadino, California 92408",www.fpawomenshealth.com/san-bernadino,34.06858,-117.267
FPA Women’s Health Sacramento CA,916-483-2885/ 877-883-7264,"2322 Butano Drive Sacramento, California 95825",www.fpawomenshealth/sacramento,38.60645,-121.381
FPA Women’s Health Riverside CA,951-637-2100/ 877-883-7264,"3660 Park Sierra Drive Riverside, California 92503",www.fpawomenshealth.com/riverside,33.90275,-117.472
FPA Women’s Health Pomona CA,909-626-2463 / 877-883-7264,"1996 Indian Hill Boulevard Pomona, California 91767",www.fpawomenshealth.com/pomona,34.07939,-117.719
Stanford University Family Planning Services,650-725-6079,"900 Welch Road Palo Alto, California 94304",stanfordhealthcare.org/medical-clinics/family-planning.html,37.4365,-122.178
